ma_vt,ten_vt,sl_ban_ra,tien_ban_ra,last_date,extra
1403956,Mực in Brother TN 2385,264.0,117613559.0,2018-10-09T00:00:00,483.0
1403989,Mực fax Panasonic KX-FAT472,1.0,609091.0,2018-10-05T00:00:00,664.0
1404013,Card đọc thẻ nhớ Transcend 2.0 (RDP5),30.0,3856366.0,2018-10-09T00:00:00,977.0
1404016,"ổ cứng HDD Transcend 1TB M3B+Box 2.5""""",1.0,1277273.0,2018-09-28T00:00:00,888.0
1404017,"ổ cứng HDD Transcend 1TB 25H3B+Box 2.5""""",53.0,66859100.0,2018-10-09T00:00:00,742.0
1404018,"ổ cứng HDD Transcend 2TB 25H3B+Box 2.5""""",22.0,45591814.0,2018-10-07T00:00:00,149.0
1404025,Card đọc thẻ nhớ Transcend 3.0 (RDF5),23.0,3638185.0,2018-10-09T00:00:00,740.0
1404028,Bàn phím laptop Lenovo G580/G585/Z580/Z585/V580/V585,1.0,242727.0,2018-09-24T00:00:00,567.0
1404058,Chuột máy tính A4-V7M,45.0,16481814.0,2018-10-09T00:00:00,808.0
1404060,Chuột máy tính A4-N500F.1,127.0,16672758.0,2018-10-09T00:00:00,42.0
1404064,Thùng máy/ Case Sama S5 (No Power),78.0,25955282.0,2018-10-09T00:00:00,775.0
1404069,Máy ép Plastic DSB HQ335,1.0,1500000.0,2018-10-01T00:00:00,626.0
1404109,Thiết bị mạng TPLink TG-3468,64.0,10351603.0,2018-10-09T00:00:00,272.0
1404110,Thiết bị mạng Linksys RE3000W Wireless,7.0,5496818.0,2018-10-07T00:00:00,795.0
1404115,Bộ định tuyến/  Draytek V2925,43.0,130304967.0,2018-10-09T00:00:00,689.0
1404123,Thiết bị mạng ToToLink N200RE,153.0,29768230.0,2018-10-09T00:00:00,712.0
1404127,Bàn phím+Chuột máy tính Logitech MK345,15.0,7281360.0,2018-10-09T00:00:00,416.0
1404160,"""ổ cứng HDD HGST 500GB 2.5"""" (7200rpm)""",59.0,56779918.0,2018-10-09T00:00:00,461.0
1404190,Bàn phím laptop Dell E6420/5420/E6320/E6330/E6430/E6230,2.0,532728.0,2018-10-09T00:00:00,985.0
1404209,Loa Soundmax A130 (2.0) (Xanh),91.0,11806313.0,2018-10-09T00:00:00,4.0
1404210,Bộ định tuyến/  Draytek V2925FN (2 sợi quang),11.0,43636364.0,2018-10-09T00:00:00,141.0
1404232,ổ cứng di động/ USB Sandisk 16GB (SDCZ48- U46),146.0,18505476.0,2018-10-09T00:00:00,416.0
1404236,Thẻ nhớ Micro SDHC Sandisk 16GB (class 10) Ultra,104.0,13192929.0,2018-10-09T00:00:00,254.0
1404237,Thẻ nhớ Micro SDHC Sandisk 32GB (class 10) Ultra,59.0,16323086.0,2018-10-09T00:00:00,493.0
1404261,Loa Microlab M108 (2.1),87.0,30992127.0,2018-10-08T00:00:00,692.0
1404265,Loa Microlab TMN9U (2.1),-1.0,-1104545.0,2018-10-08T00:00:00,-699.0
1404296,Máy ghi âm Sony ICD TX650BC2E (Đen),5.0,15772726.0,2018-10-03T00:00:00,38.0
1404339,"""Màn hình LCD Acer 19.5"""" K202HQL""",51.0,83404900.0,2018-10-09T00:00:00,960.0
1404364,Tai nghe HP H2800,157.0,0.0,2018-10-04T00:00:00,0.0
1404380,Bộ sạc pin Energizer (AAA-700),10.0,2136362.0,2018-10-05T00:00:00,309.0
1404429,Cáp đồng trục (thùng 305m),1.0,1727273.0,2018-09-21T00:00:00,874.0
1404458,Điện thoại bàn NP 1201 (Trắng),5.0,686364.0,2018-10-01T00:00:00,244.0
1404459,Điện thoại bàn NP 1201 (Đen),11.0,1540000.0,2018-10-09T00:00:00,266.0
1404484,Thiết bị ghi hình/ Webcam Logitech B525,29.0,27190902.0,2018-10-07T00:00:00,370.0
1404527,Thiết bị mạng Linksys EA6350 Wireless,22.0,44132732.0,2018-10-09T00:00:00,81.0
1404531,Máy in Brother HL-L2321D,214.0,473255397.0,2018-10-09T00:00:00,91.0
1404533,Pin dùng cho laptop Toshiba PA3817 (6cell),3.0,1382727.0,2018-09-29T00:00:00,397.0
1404607,Máy in Brother HL-L2366DW,92.0,290081797.0,2018-10-09T00:00:00,351.0
1404630,Drum Brother DR 2385,24.0,15272736.0,2018-10-09T00:00:00,512.0
1404713,Bộ vi xử lý/ CPU AMD A8 7600,1.0,1845455.0,2018-09-28T00:00:00,1003.0
1404715,Loa Soundmax A980 (2.1),28.0,26421808.0,2018-10-09T00:00:00,134.0
1404738,pin dùng cho laptop Dell 14Z-5421,85.0,49100170.0,2018-10-09T00:00:00,212.0
1404739,Pin dùng cho laptop HP 15/Papilon M4 VK04,2.0,1139055.0,2018-10-09T00:00:00,903.0
